0 min;;10 min;;20 min;;30 min;;40 min;;50 min;;60 min;;90 min;;120 min;;
Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;
765,9921265;-0,007047532592;765,9921265;-0,003917001653;765,9921265;-0,004513754509;765,9921265;-0,009793844074;765,9921265;-0,008759510703;765,9921265;-0,009703280404;765,9921265;-0,009064086713;765,9921265;-0,009549445473;765,9921265;-0,011519555;
765,0082397;-0,005859600846;765,0082397;-0,002217519563;765,0082397;-0,003368541831;765,0082397;-0,009613355622;765,0082397;-0,007908559404;765,0082397;-0,009349398315;765,0082397;-0,008366619237;765,0082397;-0,009186668321;765,0082397;-0,01188930497;
763,9888916;-0,006714623421;763,9888916;-0,003107391065;763,9888916;-0,003568589222;763,9888916;-0,01014433056;763,9888916;-0,008634474128;763,9888916;-0,01012354251;763,9888916;-0,00917921681;763,9888916;-0,009705153294;763,9888916;-0,01248939708;
763,0042114;-0,006116345525;763,0042114;-0,003340337658;763,0042114;-0,003556316951;763,0042114;-0,009487500414;763,0042114;-0,00919224415;763,0042114;-0,01030973531;763,0042114;-0,009409487247;763,0042114;-0,009462376125;763,0042114;-0,01250680257;
761,9840698;-0,006834710017;761,9840698;-0,003881187644;761,9840698;-0,004234886728;761,9840698;-0,01095164288;761,9840698;-0,009645712562;761,9840698;-0,0106145395;761,9840698;-0,009495301172;761,9840698;-0,01049013715;761,9840698;-0,01274426468;
760,9987793;-0,006994349416;760,9987793;-0,00335122901;760,9987793;-0,003675123909;760,9987793;-0,01058346778;760,9987793;-0,009315853938;760,9987793;-0,009998746216;760,9987793;-0,008796395734;760,9987793;-0,009987412952;760,9987793;-0,0133067267;
760,0130005;-0,005638478324;760,0130005;-0,002517914865;760,0130005;-0,003737389576;760,0130005;-0,009912779555;760,0130005;-0,008433852345;760,0130005;-0,009050903842;760,0130005;-0,008495490067;760,0130005;-0,009416225366;760,0130005;-0,01414627396;
758,9916992;-0,006782673299;758,9916992;-0,003057219088;758,9916992;-0,003787021153;758,9916992;-0,009816014208;758,9916992;-0,008930465207;758,9916992;-0,01064368989;758,9916992;-0,009106725454;758,9916992;-0,009935550392;758,9916992;-0,01359729283;
758,0053101;-0,006247774232;758,0053101;-0,003127232194;758,0053101;-0,003529562848;758,0053101;-0,01014448237;758,0053101;-0,008660204709;758,0053101;-0,01058068871;758,0053101;-0,009131566621;758,0053101;-0,009510243312;758,0053101;-0,01349497214;
756,9832764;-0,005607610568;756,9832764;-0,002909085015;756,9832764;-0,003282331163;756,9832764;-0,009844458662;756,9832764;-0,009209224023;756,9832764;-0,009980987757;756,9832764;-0,008450811729;756,9832764;-0,008668375202;756,9832764;-0,01316460967;
755,9960938;-0,007875208743;755,9960938;-0,004495104309;755,9960938;-0,004382568877;755,9960938;-0,01143676322;755,9960938;-0,01069870126;755,9960938;-0,01147276629;755,9960938;-0,01006871182;755,9960938;-0,01029360667;755,9960938;-0,01393549889;
755,0085449;-0,006779716816;755,0085449;-0,002814553212;755,0085449;-0,003899249015;755,0085449;-0,009958370589;755,0085449;-0,009426965378;755,0085449;-0,0113048777;755,0085449;-0,009113316424;755,0085449;-0,009571829811;755,0085449;-0,01448370237;
753,9854126;-0,007138906978;753,9854126;-0,003868411062;753,9854126;-0,004300352652;753,9854126;-0,01042529382;753,9854126;-0,01005915087;753,9854126;-0,01033971459;753,9854126;-0,009564638138;753,9854126;-0,01075799856;753,9854126;-0,01506812125;
752,9970703;-0,00718957698;752,9970703;-0,003926852252;752,9970703;-0,005332665984;752,9970703;-0,01076618023;752,9970703;-0,01041422412;752,9970703;-0,01132404525;752,9970703;-0,01036499068;752,9970703;-0,01109186094;752,9970703;-0,01389899757;
752,0085449;-0,006457364652;752,0085449;-0,002621310996;752,0085449;-0,004180127289;752,0085449;-0,01022089645;752,0085449;-0,00928337127;752,0085449;-0,0105392551;752,0085449;-0,009302627295;752,0085449;-0,009494744241;752,0085449;-0,01414872985;
750,9842529;-0,007655161433;750,9842529;-0,00480570551;750,9842529;-0,004967371933;750,9842529;-0,01148053072;750,9842529;-0,009888185188;750,9842529;-0,01182451937;750,9842529;-0,01065030787;750,9842529;-0,0112066064;750,9842529;-0,01448164973;
749,9949341;-0,007805295754;749,9949341;-0,00371193001;749,9949341;-0,004441146273;749,9949341;-0,01140933018;749,9949341;-0,01031474024;749,9949341;-0,01094396878;749,9949341;-0,0102399094;749,9949341;-0,01104275417;749,9949341;-0,01548292674;
749,005249;-0,007615940645;749,005249;-0,00457323622;749,005249;-0,005378382746;749,005249;-0,01184487343;749,005249;-0,0102838492;749,005249;-0,01195659954;749,005249;-0,01037388761;749,005249;-0,01163821947;749,005249;-0,01524695754;
